Jun 2008	1581	2551	1444	1390	262
Dec 2008	1293	2607	2002	1650	373
Jun 2009	1103	2546	2529	1800	443
Dec 2009	905	2381	3188	1973	503
Jun 2010	785	1951	3540	2594	632
Dec 2010	707	1241	4067	3530	901
Jun 2011	579	812	4614	3913	989
Dec 2011	475	808	5115	3985	1213
Jun 2012	436	980	5067	4094	1458
Dec 2012	288	609	4213	5406	1645
